"","Month","M3","M6","Y1","Y2","Y3","Y5","Y7","Y10"
"337",2010-01-01,0.06,0.15,0.35,0.93,1.49,2.48,3.21,3.73
"338",2010-02-01,0.11,0.18,0.35,0.86,1.4,2.36,3.12,3.69
"339",2010-03-01,0.15,0.23,0.4,0.96,1.51,2.43,3.16,3.73
"340",2010-04-01,0.16,0.24,0.45,1.06,1.64,2.58,3.28,3.85
"341",2010-05-01,0.16,0.22,0.37,0.83,1.32,2.18,2.86,3.42
"342",2010-06-01,0.12,0.19,0.32,0.72,1.17,2,2.66,3.2
"343",2010-07-01,0.16,0.2,0.29,0.62,0.98,1.76,2.43,3.01
"344",2010-08-01,0.16,0.19,0.26,0.52,0.78,1.47,2.1,2.7
"345",2010-09-01,0.15,0.19,0.26,0.48,0.74,1.41,2.05,2.65
"346",2010-10-01,0.13,0.18,0.23,0.38,0.57,1.18,1.85,2.54
"347",2010-11-01,0.14,0.18,0.25,0.45,0.67,1.35,2.02,2.76
"348",2010-12-01,0.14,0.19,0.29,0.62,0.99,1.93,2.66,3.29
"349",2011-01-01,0.15,0.18,0.27,0.61,1.03,1.99,2.72,3.39
"350",2011-02-01,0.13,0.17,0.29,0.77,1.28,2.26,2.96,3.58
"351",2011-03-01,0.1,0.16,0.26,0.7,1.17,2.11,2.8,3.41
"352",2011-04-01,0.06,0.12,0.25,0.73,1.21,2.17,2.84,3.46
"353",2011-05-01,0.04,0.09,0.19,0.56,0.94,1.84,2.51,3.17
"354",2011-06-01,0.04,0.1,0.18,0.41,0.71,1.58,2.29,3
"355",2011-07-01,0.04,0.08,0.19,0.41,0.68,1.54,2.28,3
"356",2011-08-01,0.02,0.06,0.11,0.23,0.38,1.02,1.63,2.3
"357",2011-09-01,0.01,0.04,0.1,0.21,0.35,0.9,1.42,1.98
"358",2011-10-01,0.02,0.05,0.11,0.28,0.47,1.06,1.62,2.15
"359",2011-11-01,0.01,0.05,0.11,0.25,0.39,0.91,1.45,2.01
"360",2011-12-01,0.01,0.05,0.12,0.26,0.39,0.89,1.43,1.98
"361",2012-01-01,0.03,0.07,0.12,0.24,0.36,0.84,1.38,1.97
"362",2012-02-01,0.09,0.12,0.16,0.28,0.38,0.83,1.37,1.97
"363",2012-03-01,0.08,0.14,0.19,0.34,0.51,1.02,1.56,2.17
"364",2012-04-01,0.08,0.14,0.18,0.29,0.43,0.89,1.43,2.05
"365",2012-05-01,0.09,0.15,0.19,0.29,0.39,0.76,1.21,1.8
"366",2012-06-01,0.09,0.15,0.19,0.29,0.39,0.71,1.08,1.62
"367",2012-07-01,0.1,0.15,0.19,0.25,0.33,0.62,0.98,1.53
"368",2012-08-01,0.1,0.14,0.18,0.27,0.37,0.71,1.14,1.68
"369",2012-09-01,0.11,0.14,0.18,0.26,0.34,0.67,1.12,1.72
"370",2012-10-01,0.1,0.15,0.18,0.28,0.37,0.71,1.15,1.75
"371",2012-11-01,0.09,0.14,0.18,0.27,0.36,0.67,1.08,1.65
"372",2012-12-01,0.07,0.12,0.16,0.26,0.35,0.7,1.13,1.72
"373",2013-01-01,0.07,0.11,0.15,0.27,0.39,0.81,1.3,1.91
"374",2013-02-01,0.1,0.12,0.16,0.27,0.4,0.85,1.35,1.98
"375",2013-03-01,0.09,0.11,0.15,0.26,0.39,0.82,1.32,1.96
"376",2013-04-01,0.06,0.09,0.12,0.23,0.34,0.71,1.15,1.76
"377",2013-05-01,0.04,0.08,0.12,0.25,0.4,0.84,1.31,1.93
"378",2013-06-01,0.05,0.09,0.14,0.33,0.58,1.2,1.71,2.3
"379",2013-07-01,0.04,0.07,0.12,0.34,0.64,1.4,1.99,2.58
"380",2013-08-01,0.04,0.07,0.13,0.36,0.7,1.52,2.15,2.74
"381",2013-09-01,0.02,0.04,0.12,0.4,0.78,1.6,2.22,2.81
"382",2013-10-01,0.05,0.08,0.12,0.34,0.63,1.37,1.99,2.62
"383",2013-11-01,0.07,0.1,0.12,0.3,0.58,1.37,2.07,2.72
"384",2013-12-01,0.07,0.1,0.13,0.34,0.69,1.58,2.29,2.9
"385",2014-01-01,0.04,0.07,0.12,0.39,0.78,1.65,2.29,2.86
"386",2014-02-01,0.05,0.08,0.12,0.33,0.69,1.52,2.15,2.71
"387",2014-03-01,0.05,0.08,0.13,0.4,0.82,1.64,2.23,2.72
"388",2014-04-01,0.03,0.05,0.11,0.42,0.88,1.7,2.27,2.71
"389",2014-05-01,0.03,0.05,0.1,0.39,0.83,1.59,2.12,2.56
"390",2014-06-01,0.04,0.06,0.1,0.45,0.9,1.68,2.19,2.6
