Date,R_3M,R_6M,R_1Y,R_2Y,R_3Y,R_5Y,R_7Y,R_10Y
31/01/2005,2.58,2.85,3.03,3.38,3.54,3.77,3.97,4.17
28/02/2005,2.8,3.09,3.3,3.73,3.91,4.17,4.33,4.5
31/03/2005,2.84,3.14,3.32,3.65,3.79,4,4.16,4.34
30/04/2005,2.9,3.17,3.33,3.64,3.72,3.85,3.94,4.14
31/05/2005,3.04,3.22,3.36,3.64,3.69,3.77,3.86,4
30/06/2005,3.29,3.53,3.64,3.87,3.91,3.98,4.06,4.18
31/07/2005,3.52,3.78,3.87,4.04,4.08,4.12,4.18,4.26
31/08/2005,3.49,3.79,3.85,3.95,3.96,4.01,4.08,4.2
30/09/2005,3.79,4.13,4.18,4.27,4.29,4.33,4.38,4.46
31/10/2005,3.97,4.3,4.33,4.42,4.43,4.45,4.48,4.54
30/11/2005,3.97,4.33,4.35,4.4,4.39,4.39,4.41,4.47
31/12/2005,4.34,4.47,4.45,4.4,4.35,4.35,4.37,4.42
31/01/2006,4.54,4.69,4.68,4.67,4.64,4.57,4.56,4.57
28/02/2006,4.63,4.79,4.77,4.73,4.74,4.72,4.71,4.72
31/03/2006,4.72,4.9,4.9,4.89,4.89,4.9,4.94,4.99
30/04/2006,4.84,5.01,5,4.97,4.97,5,5.03,5.11
31/05/2006,4.92,5.17,5.16,5.12,5.09,5.07,5.08,5.11
30/06/2006,5.08,5.27,5.22,5.12,5.07,5.04,5.05,5.09
31/07/2006,5.09,5.17,5.08,4.9,4.85,4.82,4.83,4.88
31/08/2006,4.93,5.08,4.97,4.77,4.69,4.67,4.68,4.72
30/09/2006,5.05,5.12,5.01,4.8,4.72,4.69,4.69,4.73
31/10/2006,5.07,5.15,5.01,4.74,4.64,4.58,4.58,4.6
30/11/2006,4.97,5.07,4.94,4.67,4.58,4.53,4.54,4.56
31/12/2006,5.11,5.15,5.06,4.88,4.79,4.75,4.75,4.76
31/01/2007,5.16,5.16,5.05,4.85,4.75,4.71,4.71,4.72
28/02/2007,5.08,5.1,4.92,4.57,4.51,4.48,4.5,4.56
31/03/2007,5.01,5.07,4.93,4.67,4.6,4.59,4.62,4.69
30/04/2007,4.87,4.98,4.91,4.77,4.69,4.67,4.69,4.75
31/05/2007,4.74,4.95,4.96,4.98,5,5.03,5.05,5.1
30/06/2007,4.96,5.04,4.96,4.82,4.82,4.88,4.93,5
31/07/2007,4.32,4.55,4.47,4.31,4.34,4.43,4.53,4.67
31/08/2007,3.99,4.2,4.14,4.01,4.06,4.2,4.33,4.52
30/09/2007,4,4.16,4.1,3.97,4.01,4.2,4.33,4.53
31/10/2007,3.35,3.58,3.5,3.34,3.35,3.67,3.87,4.15
30/11/2007,3.07,3.34,3.26,3.12,3.13,3.49,3.74,4.1
31/12/2007,2.82,2.84,2.71,2.48,2.51,2.98,3.31,3.74
31/01/2008,2.17,2.1,2.05,1.97,2.19,2.78,3.21,3.74
29/02/2008,1.28,1.51,1.54,1.62,1.8,2.48,2.93,3.51
31/03/2008,1.31,1.58,1.74,2.05,2.23,2.84,3.19,3.68
30/04/2008,1.76,1.86,2.06,2.45,2.69,3.15,3.46,3.88
31/05/2008,1.89,2.19,2.42,2.77,3.08,3.49,3.73,4.1
30/06/2008,1.66,1.98,2.28,2.57,2.87,3.3,3.6,4.01
31/07/2008,1.75,1.97,2.18,2.42,2.7,3.14,3.46,3.89
31/08/2008,1.15,1.64,1.91,2.08,2.32,2.88,3.25,3.69
30/09/2008,0.69,1.23,1.42,1.61,1.86,2.73,3.19,3.81
31/10/2008,0.19,0.74,1.07,1.21,1.51,2.29,2.82,3.53
30/11/2008,0.03,0.26,0.49,0.82,1.07,1.52,1.89,2.42
31/12/2008,0.13,0.3,0.44,0.81,1.13,1.6,1.98,2.52
31/01/2009,0.3,0.46,0.62,0.98,1.37,1.87,2.3,2.87
28/02/2009,0.22,0.43,0.64,0.93,1.31,1.82,2.42,2.82
31/03/2009,0.16,0.35,0.55,0.93,1.32,1.86,2.47,2.93
30/04/2009,0.18,0.3,0.5,0.93,1.39,2.13,2.81,3.29
31/05/2009,0.18,0.31,0.51,1.18,1.76,2.71,3.37,3.72
30/06/2009,0.18,0.28,0.48,1.02,1.55,2.46,3.14,3.56
31/07/2009,0.17,0.27,0.46,1.12,1.65,2.57,3.21,3.59
31/08/2009,0.12,0.21,0.4,0.96,1.48,2.37,3.02,3.4
30/09/2009,0.07,0.16,0.37,0.95,1.46,2.33,2.96,3.39
31/10/2009,0.05,0.15,0.31,0.8,1.32,2.23,2.92,3.4
30/11/2009,0.05,0.17,0.37,0.87,1.38,2.34,3.07,3.59
31/12/2009,0.06,0.15,0.35,0.93,1.49,2.48,3.21,3.73
31/01/2010,0.11,0.18,0.35,0.86,1.4,2.36,3.12,3.69
28/02/2010,0.15,0.23,0.4,0.96,1.51,2.43,3.16,3.73
31/03/2010,0.16,0.24,0.45,1.06,1.64,2.58,3.28,3.85
30/04/2010,0.16,0.22,0.37,0.83,1.32,2.18,2.86,3.42
31/05/2010,0.12,0.19,0.32,0.72,1.17,2,2.66,3.2
30/06/2010,0.16,0.2,0.29,0.62,0.98,1.76,2.43,3.01
31/07/2010,0.16,0.19,0.26,0.52,0.78,1.47,2.1,2.7
31/08/2010,0.15,0.19,0.26,0.48,0.74,1.41,2.05,2.65
30/09/2010,0.13,0.18,0.23,0.38,0.57,1.18,1.85,2.54
31/10/2010,0.14,0.18,0.25,0.45,0.67,1.35,2.02,2.76
30/11/2010,0.14,0.19,0.29,0.62,0.99,1.93,2.66,3.29
31/12/2010,0.15,0.18,0.27,0.61,1.03,1.99,2.72,3.39
